BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,SalePrice
3.0,0,0,1,926,2,1604.0,0,10839.0,100.0,0.0,36,5,6,926.0,1997,181000
2.0,0,0,1,1352,1,1352.0,1,4230.0,47.0,0.0,241,5,7,1352.0,2006,208900
3.0,0,0,1,504,1,1252.0,0,7438.0,92.0,0.0,0,8,5,504.0,1908,127000
3.0,0,866,5,132,0,2046.0,1,10625.0,85.0,292.0,62,5,7,998.0,2003,284000
3.0,0,152,0,977,1,2761.375,2,17869.125,107.5,0.0,0,6,5,1598.0,1946,200500
2.0,0,228,2,724,1,952.0,0,8475.0,69.0,0.0,0,7,4,952.0,1956,135750
3.0,0,63,5,1560,0,1636.0,1,13501.0,107.5,208.0,60,5,8,1623.0,2006,255000
3.0,0,892,0,244,1,1136.0,0,9200.0,80.0,0.0,0,6,6,1136.0,1965,140000
3.0,0,180,0,676,1,1904.0,0,7200.0,60.0,0.0,0,4,5,1208.0,1950,138000
4.0,0,0,1,847,2,1928.0,1,8200.0,65.0,0.0,48,5,7,847.0,2003,219500
5.0,0,1012,5,326,0,2520.0,1,14541.0,69.0,0.0,55,7,8,1338.0,1993,310000
2.0,0,0,1,0,1,882.0,0,12702.0,70.0,0.0,45,5,5,41.125,1956,97000
3.0,0,0,1,816,1,1176.0,0,6240.0,52.0,0.0,0,6,6,816.0,1934,114500
3.0,0,695,5,253,0,2110.0,1,8880.0,69.0,0.0,130,5,7,948.0,1994,205000
3.0,0,412,4,251,1,950.0,0,9758.0,61.0,0.0,0,5,5,950.0,1971,119500
3.0,0,0,1,2042,0,2042.0,2,12704.0,98.0,306.0,90,5,8,2042.0,2008,253293
3.0,0,827,0,161,1,988.0,0,9945.0,69.0,57.0,0,5,5,988.0,1961,128500
5.0,3,0,1,1008,1,2210.0,3,9900.0,90.0,0.0,48,4,6,1008.0,1880,117500
2.0,0,312,0,0,1,912.0,0,7800.0,66.0,0.0,0,5,5,912.0,1964,115000
3.0,0,763,4,192,1,955.0,0,7742.0,66.0,0.0,0,7,5,955.0,1966,127000
3.0,2,1338,5,384,0,2296.0,2,13478.0,97.0,415.0,274,5,10,1722.0,2008,451950
3.0,0,460,4,414,1,1524.0,0,11344.0,78.0,180.0,0,5,5,874.0,1958,144000
3.0,0,534,4,246,1,988.0,0,7200.0,60.0,0.0,80,7,5,876.0,1950,119000
2.0,2,1567,2,0,0,1567.0,1,9819.0,69.0,0.0,32,5,6,1567.0,1977,196000
3.0,3,0,1,264,2,1304.0,0,2665.0,69.0,0.0,24,6,5,264.0,1976,115000
2.0,1,1165,2,0,2,2761.375,1,15498.0,69.0,0.0,72,6,8,1565.0,1976,287000
1.0,2,662,5,186,2,848.0,1,4438.0,69.0,169.0,0,5,6,848.0,2004,144500
3.0,1,1300,5,434,1,1734.0,1,11645.0,78.0,0.0,24,5,7,1734.0,2005,260000
3.0,0,513,2,227,1,1775.0,1,9317.0,75.0,137.0,72,5,7,740.0,1993,213000
3.0,1,767,2,266,0,1126.0,2,15611.0,69.0,0.0,0,6,5,1126.0,1977,175000
3.0,1,422,2,480,1,1117.0,0,7819.0,94.0,0.0,0,5,6,1029.0,1976,107000
2.0,0,0,1,0,1,827.0,0,7200.0,60.0,0.0,0,7,5,41.125,1955,107500
1.0,0,0,1,520,1,520.0,3,6324.0,60.0,0.0,0,6,4,520.0,1927,68500
3.0,0,340,3,0,0,1246.0,1,7500.0,75.0,0.0,0,7,5,1246.0,1959,154000
4.0,1,0,1,1143,1,2473.0,1,9591.0,76.0,344.0,151,5,8,1143.0,2004,317000
2.0,0,0,1,1498,1,1506.0,2,14587.0,75.0,284.0,174,5,9,1498.0,2008,264132
3.0,2,80,5,1652,2,1776.0,1,15306.0,93.0,100.0,0,5,8,1732.0,2006,283463
4.0,1,477,2,725,1,2158.0,1,12615.0,84.0,0.0,29,7,6,1202.0,1950,243000
2.0,0,0,1,735,1,1034.0,0,10134.0,60.0,0.0,39,6,5,735.0,1940,109000
3.0,2,871,5,611,2,2262.0,1,12244.0,85.0,226.0,0,5,8,1482.0,2003,305000
3.0,3,212,4,762,1,974.0,0,10712.0,63.0,0.0,28,5,5,974.0,1991,93500
2.0,0,419,5,310,1,1458.0,0,3230.0,34.0,415.0,32,5,6,729.0,1999,176000
4.0,0,0,1,0,1,1535.0,0,7018.0,64.0,0.0,0,5,5,41.125,1979,118858
3.0,0,250,4,210,1,1211.0,0,8250.0,55.0,0.0,63,5,5,952.0,1968,134000
3.0,0,288,0,619,1,907.0,0,8593.0,77.0,0.0,0,6,4,907.0,1957,109008
2.0,0,0,1,0,1,1040.0,0,8544.0,60.0,0.0,0,4,3,41.125,1950,93500
3.0,2,2188,5,142,2,2364.0,2,12919.0,100.0,415.0,67,5,9,2054.125,2009,611657
2.0,3,1003,5,288,1,1291.0,1,2887.0,69.0,0.0,0,5,6,1291.0,1996,173000
3.0,0,1074,5,322,2,2392.0,1,9452.0,82.0,415.0,70,5,8,1396.0,1997,348000
3.0,2,1173,5,138,0,2418.0,1,10542.0,96.0,415.0,154,5,7,1311.0,1993,341000
3.0,0,179,2,465,0,1150.0,0,7945.0,70.0,0.0,0,6,5,1150.0,1959,141000
2.0,1,632,2,148,1,780.0,0,7200.0,60.0,0.0,0,7,5,780.0,1972,124900
3.0,0,162,2,321,1,987.0,1,1680.0,31.5,415.0,0,8,6,483.0,1972,118000
2.0,0,0,1,961,1,1077.0,0,8967.0,60.0,0.0,0,2,5,961.0,1920,67000
2.0,0,0,1,988,0,988.0,0,17869.125,100.0,0.0,0,5,5,988.0,1954,113000
2.0,0,0,1,190,1,886.0,0,5784.0,50.0,0.0,20,8,5,190.0,1938,91300
3.0,0,209,2,463,2,1400.0,0,7844.0,74.0,203.0,0,7,6,672.0,1978,149500
3.0,0,0,1,884,1,1573.0,1,6120.0,51.0,0.0,0,7,4,884.0,1935,133000
3.0,3,0,1,1095,0,1939.0,1,10728.0,84.0,0.0,51,5,8,1095.0,2006,266000
3.0,2,1082,5,371,0,1453.0,1,5271.0,69.0,0.0,80,5,7,1453.0,1986,190000
3.0,3,662,5,186,0,848.0,1,4435.0,37.0,169.0,0,5,6,848.0,2004,155900
3.0,0,0,1,728,2,1456.0,1,11103.0,85.0,0.0,0,5,7,728.0,2006,155835
3.0,0,338,0,1221,1,1559.0,0,8100.0,90.0,0.0,116,6,5,1559.0,1948,153500
4.0,0,493,0,0,2,1620.0,0,10793.0,80.0,263.0,0,5,5,780.0,1969,152000
3.0,2,546,2,270,1,816.0,0,8314.0,76.0,0.0,0,7,5,816.0,1982,124500
4.0,2,28,3,0,1,2730.0,1,10380.0,86.0,172.0,96,5,7,1502.0,1986,301000
4.0,0,0,1,1768,1,1768.0,0,10778.0,72.0,0.0,0,5,4,1768.0,1968,136500
3.0,0,28,5,1288,2,1316.0,1,10237.0,65.0,0.0,0,5,6,1316.0,2005,169990
3.0,0,0,1,952,1,1548.0,2,7264.0,55.0,0.0,0,7,7,952.0,1925,205000
3.0,0,450,5,241,1,1452.0,1,3735.0,35.0,218.0,34,5,7,691.0,1999,183900
2.0,3,0,1,1498,1,1498.0,1,8990.0,73.0,0.0,33,5,7,1498.0,2006,204900
4.0,0,692,5,153,0,2353.0,2,13005.0,94.0,278.0,195,7,7,845.0,1980,260000
3.0,0,1237,3,420,1,1657.0,0,12155.0,69.0,0.0,0,3,6,1657.0,1970,163500
3.0,0,550,5,334,1,1768.0,1,8158.0,65.0,252.0,63,5,7,884.0,2003,224900
3.0,2,1880,2,343,2,2223.0,0,13651.0,95.0,415.0,0,6,7,2054.125,1973,244000
2.0,0,0,1,832,1,854.0,0,6120.0,51.0,0.0,112,8,7,832.0,1929,132000
2.0,2,680,2,289,1,1432.0,1,16157.0,69.0,0.0,180,7,5,1360.0,1978,194000
3.0,0,189,2,628,0,1478.0,0,8400.0,70.0,0.0,0,3,6,1478.0,1957,156500
3.0,0,439,5,115,0,1026.0,1,7930.0,61.0,0.0,48,8,6,1026.0,1969,156000
2.0,2,1148,5,594,0,1742.0,1,6563.0,69.0,0.0,28,5,8,1742.0,1985,275000
3.0,0,686,5,304,1,990.0,0,9245.0,57.0,0.0,0,5,5,990.0,1994,145000
5.0,1,650,0,390,1,2080.0,3,11606.0,70.0,192.0,0,5,5,1040.0,1969,135000
1.0,0,0,1,264,1,800.0,3,6120.0,51.0,0.0,0,3,2,264.0,1936,60000
3.0,0,616,0,424,1,1040.0,0,8430.0,60.0,136.0,0,5,5,1040.0,1978,124000
3.0,0,659,2,381,1,1040.0,0,6897.0,69.0,0.0,104,8,5,1040.0,1962,127000
4.0,3,0,1,939,1,1513.0,0,6120.0,51.0,0.0,0,8,5,939.0,1920,137500
3.0,1,0,1,939,1,1797.0,1,9245.0,79.0,0.0,53,5,7,939.0,2006,213500
3.0,0,510,4,278,1,804.0,1,7200.0,60.0,294.0,0,7,5,788.0,1940,119000
2.0,0,0,1,901,1,901.0,0,6000.0,50.0,0.0,0,7,4,901.0,1954,107900
3.0,0,0,1,858,1,872.0,0,8294.0,70.0,0.0,0,5,4,858.0,1971,123000
4.0,0,0,1,0,1,1902.0,0,8930.0,68.0,0.0,0,5,6,41.125,1978,112000
3.0,0,1124,5,1603,1,1629.0,1,10655.0,85.0,296.0,0,5,8,2054.125,2003,284000
1.0,1,584,5,0,2,767.0,0,4058.0,34.0,182.0,40,5,7,723.0,1998,133000
1.0,1,662,5,186,0,848.0,1,4438.0,69.0,205.0,0,5,6,848.0,2004,149000
3.0,1,0,1,916,2,1600.0,0,8773.0,57.0,0.0,38,5,6,916.0,1997,169000
4.0,0,0,1,833,1,1848.0,1,13053.0,64.0,0.0,0,7,6,833.0,1923,207000
3.0,3,1005,5,387,1,1412.0,1,11457.0,107.5,0.0,0,5,6,1392.0,1988,175000
3.0,0,560,4,0,1,935.0,0,13526.0,69.0,114.0,0,6,5,935.0,1965,137000
4.0,0,300,5,652,2,2256.0,1,8795.0,69.0,0.0,54,5,7,952.0,2000,236000
2.0,0,0,1,742,1,935.0,0,9100.0,50.0,0.0,0,6,5,742.0,1930,79500
3.0,0,0,1,1099,1,1099.0,1,9525.0,75.0,0.0,0,6,5,1099.0,1995,144000
4.0,0,194,5,638,0,1664.0,0,10140.0,78.0,0.0,28,5,7,832.0,1976,162900
3.0,0,490,5,280,0,1582.0,1,8320.0,64.0,0.0,45,5,7,770.0,2004,185900
2.0,2,1460,5,408,0,2028.0,1,11443.0,88.0,208.0,66,5,8,1868.0,2005,369900
3.0,1,0,1,866,0,1779.0,1,10400.0,80.0,0.0,36,5,7,866.0,1998,197900
5.0,0,0,1,755,1,2229.0,0,5520.0,92.0,0.0,198,6,6,755.0,1912,104000
3.0,1,50,4,430,1,480.0,0,9000.0,50.0,0.0,0,3,2,480.0,1949,35311
3.0,2,1172,5,528,2,1718.0,2,12456.0,96.0,230.0,48,5,10,1700.0,2006,337500
1.0,0,1540,5,162,2,1702.0,2,8769.0,65.0,415.0,72,5,9,1702.0,2008,367294
3.0,1,280,3,167,1,938.0,0,9200.0,69.0,0.0,0,6,5,938.0,1975,130250
3.0,0,986,5,668,1,1654.0,1,8125.0,69.0,295.0,136,5,7,1654.0,2002,230000
4.0,2,1455,5,989,2,2761.375,2,17869.125,104.0,415.0,50,6,10,2054.125,1994,755000
4.0,0,689,1,773,2,2761.375,2,15138.0,107.5,415.0,146,5,8,1462.0,1995,403000
2.0,0,377,0,551,1,928.0,0,13300.0,70.0,0.0,0,7,5,928.0,1956,132000
3.0,0,0,1,741,2,1732.0,1,9206.0,77.0,336.0,46,5,6,741.0,1985,178000
4.0,0,423,0,758,1,1694.0,0,8400.0,60.0,0.0,0,5,6,1181.0,1925,136500
3.0,3,1056,0,0,2,1056.0,0,17869.125,100.0,0.0,0,5,5,1056.0,1955,145000
3.0,1,769,2,95,0,900.0,0,7838.0,68.0,0.0,144,5,5,864.0,1967,123000
3.0,0,223,0,794,2,2057.0,1,11500.0,86.0,0.0,0,7,7,1017.0,1936,250000
3.0,0,0,1,1413,0,1430.0,1,16285.0,67.0,0.0,33,5,7,1413.0,2001,187100
2.0,1,660,1,108,2,768.0,0,7200.0,60.0,0.0,0,8,5,768.0,1972,133900
2.0,0,41,4,823,1,864.0,0,8248.0,45.0,0.0,0,3,3,864.0,1914,67000
2.0,0,0,1,700,1,1180.0,3,11600.0,80.0,0.0,0,5,4,700.0,1922,137500
3.0,0,512,4,148,0,1348.0,0,7590.0,69.0,266.0,108,5,6,660.0,1966,155000
4.0,0,1219,0,816,1,2515.0,0,17869.125,69.0,0.0,0,3,6,2035.0,1957,200624
5.0,0,443,0,662,1,2274.0,0,11600.0,80.0,361.0,0,5,5,1105.0,1960,154300
3.0,0,0,1,1007,1,1077.0,0,9786.0,60.0,0.0,100,4,3,1007.0,1922,91000
4.0,0,0,1,896,1,1792.0,0,9000.0,60.0,0.0,45,5,5,896.0,1974,136000
0.0,1,1198,1,0,1,1258.0,0,12900.0,60.0,0.0,0,4,4,1198.0,1969,108959
2.0,0,0,1,1367,1,1375.0,0,11310.0,75.0,0.0,30,5,6,1367.0,1954,140000
2.0,3,348,1,180,1,605.0,0,9098.0,58.0,0.0,0,7,4,528.0,1920,86000
3.0,0,594,4,270,0,1144.0,0,10000.0,80.0,0.0,0,6,5,864.0,1961,131400
3.0,1,0,1,1234,0,1234.0,1,11049.0,85.0,0.0,30,5,8,1234.0,2007,179900
0.0,0,1056,5,0,1,1056.0,0,6979.0,64.0,0.0,56,5,6,1056.0,1980,144000
3.0,2,1513,5,125,0,1646.0,1,9520.0,71.0,338.0,44,5,8,1638.0,2007,293077
4.0,1,383,0,833,1,1526.0,0,8562.0,68.0,145.0,78,6,5,1216.0,1957,144500
2.0,0,442,0,390,1,1216.0,0,8480.0,80.0,0.0,0,5,5,832.0,1947,118500
6.0,0,0,1,1800,1,1800.0,0,8000.0,80.0,0.0,0,4,5,1800.0,1961,141000
3.0,0,649,1,326,0,1950.0,1,7399.0,66.0,415.0,10,5,7,975.0,1997,239000
3.0,0,0,1,1482,2,2574.0,2,9588.0,69.0,270.0,148,5,8,1482.0,2007,276000
4.0,1,240,5,1752,2,2761.375,2,16056.0,85.0,208.0,108,5,9,1992.0,2005,556581
3.0,3,0,1,1032,1,2403.0,0,17869.125,69.0,0.0,0,7,7,1032.0,1940,244400
3.0,2,1274,1,622,2,1944.0,2,12378.0,90.0,0.0,175,5,9,1896.0,2003,360000
1.0,0,0,1,882,1,882.0,0,5500.0,55.0,0.0,0,6,4,882.0,1956,103200
4.0,0,0,1,1008,1,1522.0,0,6000.0,60.0,0.0,0,5,5,1008.0,1926,102000
3.0,0,81,1,23,2,1556.0,0,1950.0,31.5,0.0,0,6,6,716.0,1980,151000
4.0,0,700,5,983,2,2761.375,1,10678.0,85.0,337.0,33,5,8,1683.0,1992,285000
4.0,0,0,1,0,2,1588.0,0,17120.0,80.0,0.0,59,4,4,41.125,1959,134432
3.0,0,94,3,641,1,1487.0,0,8741.0,52.0,0.0,140,4,6,735.0,1945,113000
3.0,3,902,3,254,0,1717.0,1,13758.0,44.0,117.0,36,5,7,1156.0,1990,187500
2.0,0,0,1,803,1,1360.0,1,7200.0,60.0,0.0,65,6,5,803.0,1938,125500
3.0,0,378,5,378,1,1573.0,1,2117.0,69.0,216.0,32,5,6,756.0,2000,177500
3.0,2,633,2,586,0,1265.0,1,9350.0,85.0,0.0,92,8,5,1219.0,1965,179900
2.0,1,0,1,540,1,1044.0,3,8712.0,66.0,0.0,0,5,5,540.0,1952,55993
3.0,1,483,2,428,1,954.0,0,10780.0,55.0,0.0,0,5,5,911.0,1976,132500
3.0,0,0,1,651,1,1389.0,0,3378.0,60.0,0.0,0,8,7,651.0,1946,135000
3.0,3,932,5,133,2,1989.0,1,11367.0,90.0,210.0,60,5,8,1065.0,2002,255000
3.0,0,0,1,576,1,1710.0,0,10300.0,50.0,0.0,11,6,7,576.0,1921,140000
3.0,0,1218,5,350,0,1689.0,1,13265.0,69.0,148.0,59,5,8,1568.0,2002,271000
3.0,1,1070,5,286,2,1500.0,1,4045.0,53.0,45.0,20,5,7,1356.0,2006,246578
2.0,0,0,1,1368,0,1368.0,1,6955.0,48.0,94.0,35,5,7,1368.0,2005,202500
3.0,0,0,1,546,1,1092.0,0,2001.0,31.5,80.0,0,5,4,546.0,1970,75000
2.0,0,471,2,294,1,1365.0,0,1920.0,31.5,376.0,36,5,5,765.0,1971,122500
2.0,0,0,1,1073,1,1073.0,0,5400.0,60.0,0.0,0,6,5,1073.0,1921,108480
2.0,0,428,0,300,1,1308.0,0,9600.0,107.5,0.0,70,7,5,728.0,1940,160000
3.0,1,522,2,574,2,1118.0,0,9880.0,76.0,0.0,0,6,6,1096.0,1977,171000
1.0,1,900,2,406,1,1306.0,1,5381.0,34.0,135.0,63,5,6,1306.0,2005,196000
3.0,0,603,5,293,1,2008.0,2,7800.0,78.0,0.0,0,8,5,896.0,1948,225000
1.0,0,1039,5,208,2,1247.0,1,3316.0,37.0,0.0,84,5,8,1247.0,2005,197000
3.0,0,0,1,649,1,1317.0,0,8500.0,50.0,0.0,54,4,4,649.0,1920,40000
3.0,0,649,5,321,2,1739.0,1,2645.0,31.5,415.0,0,5,8,970.0,1999,172500
3.0,0,0,1,731,1,1343.0,0,7681.0,54.0,0.0,0,6,5,731.0,1921,154900
2.0,2,655,2,878,1,1533.0,1,17869.125,62.0,0.0,54,5,7,1533.0,1975,280000
3.0,2,604,5,125,1,1446.0,0,17869.125,57.0,0.0,22,5,7,729.0,1996,175000
3.0,0,456,0,216,1,1344.0,0,10690.0,59.0,0.0,128,7,5,672.0,1920,147000
4.0,0,986,5,484,1,2630.0,1,9200.0,80.0,415.0,66,5,8,1470.0,1998,315000
3.0,3,699,5,638,0,1337.0,1,8450.0,65.0,0.0,39,5,7,1337.0,2003,185000
3.0,1,400,1,100,2,980.0,0,9750.0,75.0,0.0,0,5,5,980.0,1967,135500
3.0,0,584,5,544,0,2020.0,1,9828.0,80.0,0.0,155,5,8,1128.0,1995,239500
3.0,0,651,0,470,1,1121.0,0,8816.0,80.0,0.0,80,6,5,1121.0,1963,139000
2.0,0,388,3,552,1,1595.0,0,8400.0,60.0,0.0,0,5,6,940.0,1940,140000
3.0,0,340,0,524,0,892.0,0,9477.0,69.0,65.0,0,5,5,864.0,1966,110000
4.0,0,700,2,0,0,2243.0,1,13474.0,107.5,246.0,44,5,7,700.0,1990,225000
3.0,0,0,1,660,0,1285.0,0,8197.0,71.0,148.0,0,5,6,660.0,1977,143500
3.0,0,569,2,381,1,1225.0,0,9320.0,77.0,0.0,0,5,4,950.0,1959,128950
3.0,0,381,5,348,1,1471.0,0,3230.0,34.0,415.0,24,5,6,729.0,1999,172500
2.0,2,226,3,96,1,1363.0,0,17869.125,73.0,0.0,0,7,7,1385.0,1954,241500
3.0,1,1078,5,488,0,1566.0,1,9000.0,75.0,36.0,168,5,8,1566.0,2008,262500
2.0,1,0,1,1258,2,1402.0,1,3922.0,53.0,72.0,16,5,7,1258.0,2006,194201
3.0,1,748,1,102,0,1144.0,0,8163.0,70.0,128.0,0,6,5,1144.0,1959,143000
3.0,1,300,4,468,1,1352.0,1,6930.0,92.0,120.0,0,4,5,1062.0,1958,130000
4.0,0,0,1,0,1,1734.0,1,10125.0,75.0,0.0,0,5,5,41.125,1977,126000
3.0,0,762,2,102,1,894.0,0,13350.0,100.0,0.0,0,5,5,864.0,1974,142500
2.0,0,863,5,461,2,1324.0,1,6240.0,48.0,176.0,38,5,8,1324.0,2006,254000
3.0,3,1283,2,0,2,1647.0,1,12984.0,80.0,415.0,0,6,5,1430.0,1977,217500
3.0,0,0,1,676,1,1131.0,0,5720.0,52.0,0.0,0,6,5,676.0,1941,66500
3.0,1,16,5,1450,2,1466.0,1,8925.0,73.0,0.0,18,5,8,1466.0,2007,201000
3.0,0,585,0,630,1,1215.0,0,12400.0,66.0,176.0,0,7,6,1215.0,1958,155000
2.0,0,0,1,698,0,1128.0,0,7500.0,60.0,0.0,0,4,4,698.0,1920,68400
4.0,0,0,1,656,1,968.0,0,10800.0,60.0,0.0,0,6,4,656.0,1927,64500
4.0,0,400,5,336,1,1632.0,1,9130.0,69.0,252.0,40,8,6,800.0,1966,173000
2.0,3,0,1,859,0,1178.0,0,8712.0,66.0,0.0,0,7,4,859.0,1900,102776
2.0,0,0,1,0,1,930.0,1,11100.0,60.0,0.0,0,7,4,41.125,1946,84900
3.0,0,518,2,179,2,1501.0,1,7685.0,69.0,112.0,63,5,6,697.0,1993,165600
2.0,0,414,1,450,1,864.0,1,7332.0,60.0,207.0,0,6,6,864.0,1959,120000
3.0,0,1059,2,75,0,1229.0,0,17140.0,69.0,0.0,0,6,4,1134.0,1956,135000
3.0,3,789,5,119,2,1915.0,1,10041.0,80.0,0.0,150,5,8,908.0,1992,220000
3.0,0,0,1,698,1,1396.0,0,8730.0,60.0,0.0,0,7,6,698.0,1915,153575
2.0,0,664,5,544,0,1208.0,1,6762.0,64.0,108.0,54,5,7,1208.0,2007,195400
2.0,1,747,5,189,1,996.0,1,9069.0,73.0,0.0,0,6,6,936.0,1992,147000
3.0,2,1065,5,92,1,2062.0,0,14364.0,69.0,128.0,55,5,7,1157.0,1988,277000
2.0,0,543,4,261,0,923.0,0,8012.0,50.0,0.0,0,5,6,923.0,1980,143000
2.0,0,0,1,624,1,720.0,0,8520.0,60.0,0.0,0,8,6,624.0,1928,105900
5.0,0,0,1,710,2,2761.375,1,11275.0,96.0,300.0,0,7,7,710.0,1967,242000
3.0,0,402,4,594,0,1744.0,1,9453.0,69.0,0.0,70,7,7,996.0,1993,194500
3.0,2,0,1,1410,2,2761.375,1,13682.0,66.0,415.0,0,5,10,1410.0,2006,438780
4.0,0,442,2,459,0,1876.0,1,9120.0,76.0,270.0,69,6,6,901.0,1974,185000
3.0,2,969,5,148,1,1347.0,0,7000.0,70.0,0.0,0,7,5,1117.0,1910,107500
3.0,2,371,5,728,0,1431.0,0,9150.0,101.0,305.0,110,5,6,1099.0,1962,165000
2.0,0,980,5,92,1,1137.0,1,13811.0,54.0,72.0,0,6,6,1112.0,1987,176000
3.0,0,840,5,200,1,1060.0,0,4224.0,44.0,0.0,110,7,5,1040.0,1976,129900
2.0,0,104,2,516,1,789.0,0,6000.0,50.0,0.0,0,5,5,789.0,1948,115000
4.0,1,0,1,732,2,1838.0,0,17869.125,60.0,0.0,40,5,5,732.0,2005,192140
3.0,0,0,1,384,0,1472.0,1,10784.0,69.0,76.0,0,5,7,384.0,1991,160000
3.0,0,399,0,484,1,1505.0,0,9144.0,69.0,0.0,0,5,5,883.0,1940,145000
2.0,0,0,1,691,1,691.0,2,5400.0,60.0,0.0,20,6,5,691.0,1920,86000
3.0,0,673,4,378,1,1159.0,0,11553.0,69.0,188.0,0,5,5,1051.0,1968,158000
2.0,0,360,2,709,0,1069.0,0,4043.0,53.0,0.0,55,5,6,1069.0,1977,127500
3.0,0,468,0,350,1,1224.0,0,3950.0,69.0,0.0,0,8,6,818.0,1926,115000
3.0,0,231,2,399,1,1302.0,0,1680.0,31.5,268.0,0,7,5,630.0,1972,119500
3.0,0,387,2,374,0,1603.0,1,7153.0,65.0,0.0,124,5,6,761.0,1992,175900
3.0,0,1079,5,141,0,2090.0,1,10000.0,80.0,415.0,65,5,8,1220.0,1995,240000
3.0,1,0,1,1935,2,1973.0,1,14226.0,107.5,375.0,45,5,8,1935.0,2006,395000
3.0,0,767,2,441,0,1208.0,0,11250.0,69.0,0.0,42,6,6,1208.0,1977,165000
3.0,1,182,3,0,1,894.0,0,10650.0,75.0,0.0,0,6,5,894.0,1976,128200
2.0,2,1518,5,0,2,1644.0,1,12800.0,69.0,145.0,0,5,7,1518.0,1989,275000
3.0,0,1126,1,600,1,1726.0,2,9416.0,79.0,205.0,138,5,7,1726.0,2007,311872
4.0,3,0,1,894,2,1933.0,1,14598.0,86.0,74.0,18,5,6,894.0,2007,214000
2.0,0,1201,5,36,2,1337.0,0,4500.0,32.0,415.0,199,5,6,1237.0,1998,153500
1.0,1,685,5,163,2,848.0,1,4435.0,69.0,170.0,0,5,6,848.0,2003,144000
2.0,0,0,1,1005,1,1005.0,3,10434.0,60.0,0.0,0,5,4,1005.0,1955,115000
3.0,0,250,5,134,2,1430.0,0,7750.0,69.0,0.0,0,5,7,384.0,2000,180000
2.0,2,1386,5,690,1,2076.0,2,13891.0,107.0,0.0,229,5,10,2054.125,2006,465000
