BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,SalePrice
2.0,0,180,3,0,0,825.0,0,8235.0,49.0,0.0,50,7,5,825.0,1955,125000
3.0,0,535,4,155,2,1426.0,0,7950.0,75.0,140.0,0,6,6,690.0,1977,159500
3.0,0,1398,2,0,2,1651.0,0,12416.0,47.0,132.0,0,5,6,1606.0,1986,184000
2.0,0,0,1,768,1,789.0,0,10594.0,55.0,0.0,0,5,5,768.0,1926,96500
6.0,0,500,3,748,1,2634.0,0,11643.0,91.0,368.0,0,5,5,1248.0,1969,200000
3.0,0,0,1,1042,1,1576.0,0,6240.0,52.0,0.0,0,6,5,1042.0,1928,149000
3.0,0,0,1,783,2,1484.0,1,10237.0,65.0,0.0,72,5,6,783.0,2005,178900
2.0,0,833,1,343,0,1200.0,1,10083.0,67.0,0.0,41,5,7,1176.0,2003,184900
2.0,0,0,1,625,0,1250.0,1,4251.0,35.0,0.0,54,5,7,625.0,2006,164700
3.0,1,1406,5,496,2,1902.0,2,17500.0,100.0,0.0,207,8,7,1902.0,1959,335000
2.0,0,0,1,0,1,1040.0,0,8544.0,69.0,340.0,0,4,3,41.125,1949,87500
3.0,0,0,1,1502,0,1502.0,1,9541.0,79.0,268.0,114,5,7,1502.0,2009,233170
3.0,0,0,1,1228,1,1228.0,1,8544.0,69.0,0.0,65,6,5,1228.0,1966,149350
3.0,0,375,0,457,1,1268.0,0,12144.0,60.0,0.0,28,7,5,832.0,1949,133000
2.0,0,468,0,396,1,864.0,0,5604.0,67.0,0.0,0,6,5,864.0,1925,98000
3.0,0,625,4,0,1,1686.0,0,10240.0,79.0,157.0,131,6,6,1686.0,1980,207500
3.0,0,1116,4,165,1,1620.0,0,9991.0,69.0,0.0,78,4,4,1281.0,1976,150000
2.0,1,685,5,173,1,858.0,0,7252.0,69.0,0.0,0,5,5,858.0,1982,134900
2.0,0,0,1,1293,0,1301.0,1,7200.0,60.0,0.0,121,5,7,1293.0,2006,187750
2.0,0,1024,1,481,0,1505.0,0,12160.0,107.5,90.0,0,4,6,1505.0,1953,149500
3.0,0,0,1,864,1,864.0,0,9353.0,71.0,0.0,0,5,4,864.0,1970,116050
2.0,1,1086,5,0,1,1224.0,0,7018.0,64.0,275.0,0,5,5,1086.0,1979,153337
3.0,3,1064,4,319,1,1383.0,0,13284.0,69.0,0.0,116,5,5,1383.0,1954,165000
3.0,0,641,2,175,1,816.0,1,6600.0,60.0,0.0,0,9,5,816.0,1982,130500
3.0,2,1309,5,35,2,1344.0,0,7060.0,78.0,200.0,0,5,7,1344.0,1997,206300
2.0,0,0,1,689,1,1392.0,1,3604.0,34.0,0.0,102,5,7,689.0,2007,146000
3.0,0,0,1,1065,1,1065.0,0,8892.0,80.0,66.0,0,5,5,1065.0,1960,126500
3.0,0,0,1,661,1,1250.0,0,5362.0,53.0,0.0,0,6,5,661.0,1910,139000
2.0,0,0,1,736,1,1452.0,0,4456.0,33.0,0.0,0,5,4,736.0,1920,113000
2.0,0,0,1,572,1,1096.0,0,9600.0,60.0,0.0,8,5,6,572.0,1924,79000
3.0,0,0,1,1428,2,1428.0,1,11639.0,95.0,0.0,120,5,7,1428.0,2007,182000
3.0,0,219,5,554,2,1658.0,0,8000.0,69.0,0.0,84,5,6,773.0,1995,188000
3.0,0,398,2,317,0,864.0,1,7200.0,60.0,0.0,0,8,5,864.0,1950,129000
5.0,3,0,1,686,1,1928.0,0,7082.0,69.0,0.0,0,8,5,686.0,1916,160000
3.0,0,0,1,1319,0,1537.0,1,8400.0,80.0,237.0,36,9,6,1319.0,1962,174000
4.0,1,0,1,879,2,1863.0,1,14054.0,58.0,0.0,17,5,7,879.0,2006,219210
3.0,1,765,5,252,1,2007.0,2,11003.0,85.0,160.0,52,5,10,1017.0,2008,310000
2.0,2,1567,5,225,2,1792.0,2,11846.0,72.0,415.0,49,5,9,1792.0,2003,374000
2.0,0,0,1,968,1,968.0,0,8520.0,60.0,0.0,0,6,5,968.0,1923,100000
4.0,3,619,4,435,1,2654.0,1,11029.0,69.0,220.0,65,7,6,1054.0,1968,250000
0.0,1,648,5,0,1,960.0,0,10246.0,69.0,0.0,0,9,4,648.0,1965,145000
3.0,0,0,1,1237,1,2761.375,1,13500.0,75.0,0.0,502,9,10,1237.0,1893,325000
3.0,1,0,1,2153,2,2643.0,2,13693.0,105.0,415.0,84,5,9,2054.125,2006,380000
2.0,2,1373,5,221,2,1646.0,1,3842.0,44.0,174.0,53,5,8,1594.0,2004,275000
3.0,0,1258,5,40,1,1298.0,1,11200.0,69.0,85.0,26,5,6,1298.0,1985,180000
3.0,1,0,1,1694,1,1694.0,1,10475.0,64.0,72.0,33,5,8,1694.0,2008,245350
2.0,3,498,4,460,0,958.0,0,12772.0,69.0,0.0,0,8,6,958.0,1960,151500
3.0,1,784,4,141,1,999.0,0,10205.0,69.0,0.0,72,5,5,925.0,1962,134500
2.0,0,0,1,780,1,1020.0,0,6342.0,54.0,0.0,0,8,5,780.0,1875,94000
3.0,0,533,5,281,0,1674.0,1,7500.0,69.0,0.0,96,5,7,814.0,2000,216000
2.0,2,1696,5,413,2,2113.0,1,10437.0,91.0,415.0,46,6,8,2054.125,1995,350000
4.0,0,156,3,692,2,2030.0,1,12046.0,69.0,298.0,224,6,6,848.0,1976,195000
3.0,0,0,1,626,0,1217.0,0,10762.0,75.0,0.0,28,6,6,626.0,1980,120000
3.0,0,0,1,1284,0,2169.0,1,9375.0,69.0,149.0,87,5,8,1284.0,2002,228500
3.0,0,595,5,378,2,1850.0,1,17869.125,69.0,0.0,98,6,7,973.0,1994,248000
3.0,0,25,4,247,1,1144.0,0,9204.0,71.0,0.0,88,5,5,1144.0,1963,124000
2.0,0,16,5,1330,2,1504.0,1,3182.0,43.0,14.0,20,5,7,1346.0,2005,191000
3.0,0,663,2,0,0,1309.0,1,10140.0,78.0,99.0,0,6,6,1040.0,1974,181000
2.0,3,204,0,356,1,1258.0,0,9060.0,60.0,0.0,0,5,6,560.0,1939,105000
3.0,0,0,1,978,0,1422.0,0,12342.0,69.0,0.0,0,5,5,978.0,1960,139900
4.0,0,608,0,834,0,1442.0,0,9750.0,75.0,243.0,0,6,6,1442.0,1958,157900
3.0,0,352,4,416,1,1200.0,0,11767.0,70.0,0.0,0,6,5,768.0,1946,130500
3.0,0,0,1,953,0,1664.0,0,8121.0,69.0,0.0,40,5,6,953.0,2000,172400
3.0,0,384,2,0,1,1360.0,0,7134.0,60.0,0.0,50,5,5,384.0,1955,130000
3.0,1,0,1,707,2,1414.0,1,9056.0,74.0,0.0,35,5,8,707.0,2004,178000
3.0,0,251,0,491,1,1342.0,0,9790.0,69.0,0.0,0,5,6,1372.0,1967,161500
3.0,3,507,0,286,1,1118.0,0,7800.0,65.0,0.0,0,7,5,793.0,1939,119900
4.0,0,503,0,449,1,2345.0,0,16560.0,80.0,0.0,0,8,6,952.0,1932,239000
3.0,0,705,4,1139,0,1844.0,0,11751.0,105.0,415.0,122,6,6,1844.0,1977,190000
2.0,0,387,2,96,1,987.0,0,1680.0,31.5,232.0,0,5,6,483.0,1971,85400
3.0,3,1200,2,410,0,1610.0,1,10603.0,69.0,28.0,68,7,6,1610.0,1977,205000
3.0,0,336,2,748,1,1080.0,0,9187.0,71.0,0.0,0,5,6,1084.0,1983,134000
3.0,1,1159,4,90,2,1622.0,0,17869.125,69.0,149.0,0,4,4,1249.0,1961,168000
3.0,1,714,5,88,2,1511.0,0,11207.0,70.0,0.0,75,5,6,802.0,1997,185000
3.0,1,1014,5,138,0,1152.0,0,14112.0,69.0,86.0,0,7,5,1152.0,1964,180500
4.0,0,420,4,490,1,1558.0,0,13710.0,75.0,0.0,0,5,5,910.0,1950,152000
3.0,0,380,1,397,0,1911.0,1,9554.0,80.0,125.0,81,5,8,777.0,1993,215000
2.0,3,860,4,132,1,1306.0,0,8712.0,64.0,0.0,0,7,5,992.0,1957,153000
2.0,0,0,1,849,1,2138.0,0,8100.0,90.0,0.0,156,5,5,849.0,1898,106000
4.0,0,0,1,1580,0,2466.0,1,11143.0,102.0,0.0,214,5,8,1580.0,2004,340000
3.0,0,600,0,312,1,1734.0,1,9786.0,77.0,0.0,0,7,6,912.0,1962,159000
3.0,0,0,1,862,0,1158.0,0,6000.0,50.0,0.0,0,7,6,862.0,1929,120000
3.0,0,0,1,0,1,1771.0,0,17869.125,100.0,75.0,0,4,5,41.125,1960,115000
2.0,0,120,2,958,0,958.0,0,4928.0,69.0,0.0,205,5,6,1078.0,1976,128000
3.0,1,48,1,1774,1,1828.0,1,11694.0,90.0,415.0,108,5,9,1822.0,2007,314813
3.0,0,292,3,476,1,1716.0,0,11409.0,60.0,0.0,0,4,5,768.0,1949,131000
3.0,1,1330,5,122,2,2713.0,2,14948.0,67.0,268.0,66,5,9,1452.0,2008,446261
3.0,0,425,3,459,1,1367.0,0,6240.0,52.0,0.0,0,6,6,884.0,1931,127500
4.0,0,299,2,611,1,1826.0,2,2500.0,50.0,0.0,0,8,7,910.0,1915,155000
3.0,0,334,2,322,0,1200.0,1,11249.0,105.0,0.0,26,5,6,1200.0,1995,177500
2.0,0,360,0,360,1,1382.0,0,12358.0,69.0,0.0,0,6,5,720.0,1941,128500
3.0,0,0,1,728,1,1456.0,1,8029.0,51.0,0.0,24,5,6,728.0,2005,176000
4.0,0,1361,5,88,0,2448.0,1,17869.125,52.0,415.0,76,7,8,1629.0,1994,402000
4.0,1,0,1,940,1,1964.0,0,8525.0,55.0,0.0,192,6,5,940.0,1911,130000
3.0,0,787,0,305,0,1092.0,0,8250.0,75.0,260.0,0,7,6,1092.0,1964,145000
3.0,0,607,2,506,1,1113.0,1,9600.0,80.0,0.0,80,7,5,1113.0,1950,147000
3.0,0,432,2,432,1,864.0,0,10500.0,70.0,0.0,0,5,4,864.0,1971,115000
3.0,0,0,1,994,2,1804.0,1,7500.0,60.0,0.0,60,5,7,994.0,1999,189000
4.0,1,0,1,1632,1,1632.0,0,17869.125,100.0,0.0,0,4,5,1632.0,1967,143000
4.0,0,956,2,384,0,2614.0,0,10800.0,90.0,0.0,243,7,6,1522.0,1974,240000
2.0,0,904,5,410,1,1314.0,1,5001.0,34.0,166.0,62,5,7,1314.0,2007,230000
3.0,0,674,5,76,0,1923.0,1,10186.0,107.0,0.0,39,5,7,750.0,1992,190000
3.0,1,712,5,761,0,1484.0,1,8400.0,70.0,109.0,35,5,7,1473.0,2004,213000
2.0,0,280,3,140,1,708.0,3,5330.0,50.0,0.0,0,7,4,420.0,1940,82500
3.0,1,1088,5,625,2,1713.0,2,9591.0,76.0,262.0,26,5,8,1713.0,2004,274900
3.0,0,374,4,363,1,1269.0,0,7931.0,70.0,0.0,0,6,5,1269.0,1960,155000
1.0,3,1721,1,356,2,2097.0,2,17869.125,49.0,0.0,267,5,8,2054.125,2005,423000
3.0,3,360,0,504,0,864.0,0,9560.0,107.5,0.0,0,7,5,864.0,1972,128500
3.0,1,936,5,168,2,2184.0,2,11308.0,96.0,154.0,102,5,9,1104.0,2008,335000
2.0,0,1456,5,168,0,1624.0,1,12461.0,89.0,0.0,114,5,8,1624.0,1994,262000
3.0,0,906,0,134,1,1040.0,0,11200.0,70.0,0.0,0,5,5,1040.0,1965,129500
3.0,0,0,1,884,2,2035.0,1,9505.0,69.0,180.0,48,5,7,884.0,2001,222500
3.0,1,437,3,0,2,1494.0,2,9549.0,31.5,0.0,30,5,8,1494.0,1995,270000
2.0,0,904,5,410,0,1314.0,1,5063.0,34.0,166.0,62,5,7,1314.0,2007,207500
3.0,0,384,2,143,1,1743.0,0,11700.0,90.0,365.0,0,6,6,702.0,1968,175000
4.0,3,48,4,422,0,2127.0,1,13125.0,103.0,0.0,192,5,7,1104.0,1991,238000
6.0,0,210,1,570,1,1716.0,3,5687.0,55.0,0.0,184,6,5,780.0,1912,135900
3.0,3,733,1,625,0,1358.0,1,6371.0,44.0,128.0,35,5,7,1358.0,2009,224000
3.0,0,0,1,384,0,1430.0,0,9967.0,76.0,0.0,0,5,7,384.0,2000,170000
2.0,0,410,5,811,0,1221.0,1,7500.0,62.0,0.0,113,5,7,1221.0,2004,185000
4.0,0,0,1,912,2,2094.0,1,9375.0,75.0,0.0,182,5,7,912.0,2003,263000
3.0,0,553,0,0,1,864.0,0,8281.0,60.0,0.0,0,5,5,864.0,1965,62383
3.0,0,567,0,413,0,1053.0,2,8973.0,69.0,85.0,80,7,5,1008.0,1958,150000
3.0,2,1390,2,0,2,1701.0,0,16647.0,69.0,0.0,0,5,5,1390.0,1975,171000
3.0,0,846,0,210,0,1056.0,0,8176.0,70.0,0.0,0,6,5,1056.0,1958,139000
3.0,0,256,2,906,1,1163.0,0,5820.0,49.0,0.0,98,8,3,1162.0,1955,126175
3.0,0,0,1,813,0,1665.0,1,8125.0,65.0,0.0,0,6,7,813.0,2007,205950
3.0,3,0,1,684,1,1196.0,1,12354.0,67.0,0.0,46,8,6,684.0,1920,110000
4.0,0,0,1,1926,2,2761.375,2,13518.0,104.0,415.0,78,5,9,1926.0,2008,485000
3.0,0,0,1,1304,1,1682.0,0,10400.0,80.0,288.0,0,6,7,1304.0,1970,174000
2.0,2,547,5,0,2,1072.0,0,3675.0,35.0,80.0,28,5,5,547.0,2005,145000
3.0,3,24,5,732,1,1547.0,1,8640.0,72.0,0.0,45,5,7,756.0,2009,215200
3.0,0,0,1,1905,2,1905.0,2,11670.0,84.0,302.0,191,5,9,1905.0,2006,320000
3.0,1,385,5,70,0,1661.0,1,10667.0,43.0,0.0,61,6,7,799.0,1996,212000
3.0,2,624,5,288,0,1350.0,0,9020.0,82.0,259.0,0,5,6,1248.0,1964,168500
3.0,0,0,1,1055,0,1845.0,1,11218.0,70.0,0.0,104,5,6,1055.0,1992,189000
3.0,0,0,1,533,0,1601.0,0,13825.0,85.0,0.0,34,6,5,533.0,1958,140000
3.0,0,592,2,99,2,1498.0,0,13031.0,69.0,0.0,44,5,6,691.0,1995,187500
3.0,0,222,5,769,0,1947.0,1,12552.0,100.0,0.0,136,5,7,991.0,2004,254900
3.0,0,902,2,196,1,1098.0,0,7390.0,69.0,151.0,0,7,5,1098.0,1955,135000
3.0,0,602,2,14,1,1054.0,0,9750.0,65.0,0.0,0,8,6,1054.0,1969,151000
3.0,0,308,0,620,2,928.0,0,6000.0,50.0,0.0,0,6,5,928.0,1957,112500
4.0,0,329,0,697,1,1820.0,0,9120.0,60.0,0.0,100,6,7,1026.0,1925,184000
5.0,0,523,5,301,2,2761.375,0,15863.0,102.0,0.0,63,3,7,824.0,1920,197000
5.0,1,0,1,1104,1,1788.0,0,11250.0,69.0,0.0,0,5,4,1104.0,1957,161500
2.0,0,247,1,310,1,1022.0,0,7200.0,60.0,0.0,30,4,5,1022.0,1910,85000
3.0,0,925,5,349,1,1274.0,1,8814.0,68.0,80.0,98,5,7,1274.0,2005,203000
4.0,0,0,1,1122,2,2504.0,2,11198.0,77.0,245.0,39,5,9,1122.0,2005,325000
3.0,3,904,5,536,2,2153.0,2,11050.0,69.0,204.0,142,5,9,1440.0,2000,313000
3.0,0,804,5,324,1,2031.0,1,9473.0,75.0,0.0,211,5,8,1128.0,2002,237000
3.0,0,0,1,764,1,1824.0,0,13515.0,60.0,0.0,0,6,6,764.0,1919,180500
2.0,0,486,4,522,1,1008.0,0,11425.0,69.0,0.0,0,6,5,1008.0,1954,137000
3.0,0,365,3,75,1,694.0,1,4280.0,40.0,0.0,0,6,5,440.0,1913,90350
4.0,2,936,0,396,1,1728.0,0,12640.0,55.0,0.0,0,5,6,1728.0,1976,150900
3.0,1,1162,2,426,0,1588.0,1,10264.0,78.0,183.0,29,5,7,1588.0,1999,214000
3.0,0,1302,1,90,1,1392.0,0,11341.0,69.0,180.0,0,6,5,1392.0,1957,121500
4.0,1,2096,5,300,2,2761.375,2,15623.0,107.5,0.0,78,5,10,2054.125,1996,745000
3.0,0,0,1,808,0,1969.0,0,11952.0,92.0,0.0,0,6,7,808.0,1977,190000
1.0,0,16,5,1330,2,1504.0,1,3182.0,43.0,16.0,0,5,7,1346.0,2005,181000
3.0,0,0,1,1276,1,1276.0,0,9571.0,68.0,0.0,0,3,5,1276.0,1958,60000
2.0,0,0,1,1800,2,1800.0,2,11923.0,107.5,0.0,136,5,9,1800.0,2007,239000
3.0,1,816,5,0,1,816.0,0,11841.0,81.0,104.0,32,5,6,816.0,1990,118500
2.0,0,0,1,0,1,1040.0,0,7200.0,60.0,0.0,0,7,5,41.125,1950,109500
3.0,0,0,1,924,1,924.0,0,7990.0,88.0,0.0,0,6,5,924.0,1975,110000
2.0,0,0,1,832,1,832.0,1,7227.0,59.0,0.0,0,6,6,832.0,1954,105500
3.0,0,0,1,930,2,1886.0,1,11214.0,69.0,0.0,0,5,7,930.0,1998,199900
3.0,3,485,2,1496,0,2196.0,1,14684.0,90.0,234.0,70,7,7,2054.125,1990,271900
3.0,3,841,4,198,1,1039.0,0,11625.0,75.0,0.0,0,4,5,1039.0,1965,131500
3.0,0,0,1,720,1,1271.0,0,17869.125,107.5,0.0,0,5,5,720.0,1948,135000
4.0,0,241,0,229,1,1367.0,0,8405.0,50.0,0.0,130,8,5,861.0,1900,119000
3.0,0,0,1,791,2,2093.0,0,17869.125,46.0,123.0,63,6,7,791.0,1986,215000
3.0,1,460,4,404,1,864.0,0,15523.0,36.0,0.0,0,6,5,864.0,1972,133500
4.0,0,0,1,804,1,2447.0,1,9638.0,50.0,0.0,0,7,6,804.0,1919,169000
3.0,2,763,5,173,0,1054.0,1,8800.0,80.0,156.0,0,7,6,936.0,1963,137500
3.0,0,206,2,914,1,1120.0,0,8402.0,70.0,0.0,30,5,5,1120.0,2007,147000
3.0,1,0,1,1616,0,1616.0,1,8688.0,73.0,228.0,59,5,7,1616.0,2005,232000
3.0,0,836,2,237,0,1073.0,0,10289.0,79.0,168.0,0,7,5,1073.0,1965,156000
2.0,1,1071,2,195,0,1389.0,0,10010.0,77.0,0.0,38,5,5,1389.0,1974,170000
1.0,0,262,4,599,1,861.0,0,12342.0,69.0,0.0,0,5,4,861.0,1940,82500
3.0,0,350,2,0,0,1135.0,1,7200.0,60.0,0.0,0,9,7,560.0,1936,155000
4.0,2,1150,5,316,0,2761.375,1,9965.0,77.0,340.0,144,5,8,1466.0,2006,424870
2.0,0,1180,5,415,0,1616.0,1,5389.0,39.0,0.0,152,5,8,1595.0,1995,236500
3.0,2,1157,2,280,0,1437.0,1,10768.0,90.0,0.0,21,8,5,1437.0,1976,218000
3.0,0,0,1,1630,1,1630.0,1,9750.0,75.0,171.0,234,5,7,1630.0,2000,213000
3.0,2,1274,5,526,2,1800.0,1,14331.0,85.0,415.0,78,5,8,1800.0,2002,312500
3.0,0,0,1,528,0,1855.0,0,9600.0,80.0,360.0,100,7,6,528.0,1976,187000
3.0,0,0,1,841,2,1675.0,0,17869.125,69.0,0.0,103,5,6,841.0,1999,181000
4.0,0,656,5,300,0,2084.0,1,10142.0,76.0,0.0,45,5,7,956.0,2004,233000
3.0,3,236,3,0,1,1111.0,0,9084.0,60.0,0.0,0,6,5,616.0,1941,95000
2.0,0,0,1,270,1,729.0,0,4130.0,56.0,0.0,0,6,3,270.0,1935,52000
3.0,0,0,1,1362,1,1586.0,0,17043.0,48.0,0.0,0,5,6,1362.0,1979,181000
1.0,0,1904,5,312,2,2234.0,2,17423.0,63.0,415.0,60,5,9,2054.125,2008,501837
3.0,0,614,4,244,1,858.0,0,8125.0,69.0,0.0,0,4,4,858.0,1971,88000
3.0,0,625,1,208,1,833.0,0,8780.0,69.0,0.0,0,5,5,833.0,1985,112000
3.0,0,504,0,319,1,1283.0,0,7763.0,70.0,0.0,0,7,5,931.0,1962,140000
3.0,0,1285,5,131,2,1644.0,0,9600.0,80.0,238.0,0,5,6,1416.0,1953,167000
3.0,0,565,0,818,1,1383.0,0,11600.0,80.0,175.0,45,5,6,1383.0,1960,145250
3.0,0,790,2,589,1,2073.0,0,13175.0,85.0,119.0,0,6,6,1542.0,1978,210000
3.0,0,0,1,650,1,1539.0,1,10440.0,60.0,0.0,78,8,5,650.0,1904,157500
3.0,1,24,5,1528,1,1552.0,1,10084.0,84.0,196.0,20,5,7,1552.0,2005,212900
3.0,0,338,4,121,1,925.0,0,9100.0,70.0,0.0,0,6,5,925.0,1965,117500
3.0,1,24,5,1390,0,1414.0,1,8773.0,65.0,98.0,105,5,7,1414.0,2004,185500
2.0,0,0,1,1013,1,1526.0,3,8470.0,105.0,0.0,0,2,3,1013.0,1915,85000
4.0,0,528,3,1098,2,1712.0,0,8393.0,70.0,122.0,54,5,5,1626.0,1959,145000
3.0,1,0,1,1709,0,1717.0,1,11146.0,87.0,250.0,39,5,8,1709.0,2006,255500
3.0,0,0,1,636,1,1750.0,2,9000.0,50.0,0.0,0,6,5,636.0,1880,124000
2.0,0,0,1,698,1,1176.0,0,6000.0,50.0,0.0,0,9,6,698.0,1937,134900
3.0,0,0,1,1406,0,1936.0,1,11194.0,106.0,40.0,124,5,8,1406.0,2000,230500
2.0,0,322,2,536,1,858.0,0,7340.0,69.0,0.0,0,6,4,858.0,1971,110000
3.0,1,0,1,1079,0,1919.0,1,15611.0,107.5,0.0,51,5,8,1079.0,2006,233230
4.0,0,0,1,596,1,1762.0,1,7200.0,60.0,0.0,0,7,7,596.0,1920,157000
6.0,0,231,3,1497,1,1728.0,0,13101.0,74.0,108.0,0,5,5,1728.0,1965,142600
2.0,0,573,5,191,0,1626.0,1,2448.0,36.0,106.0,27,5,7,764.0,2003,154000
3.0,1,554,5,100,0,1496.0,1,17104.0,58.0,0.0,24,5,7,654.0,2006,179665
2.0,3,384,1,384,1,790.0,0,6292.0,52.0,0.0,141,5,6,768.0,1930,91000
3.0,0,0,1,793,0,1935.0,0,12384.0,69.0,233.0,113,7,7,793.0,1976,197900
4.0,0,403,1,400,0,1964.0,0,10480.0,80.0,415.0,69,6,7,803.0,1976,205000
3.0,0,0,1,588,1,1666.0,1,5100.0,69.0,0.0,63,7,8,588.0,1925,161000
3.0,1,595,5,390,1,985.0,0,8385.0,65.0,220.0,0,8,5,985.0,1977,149900
2.0,1,720,5,638,0,1358.0,1,8198.0,59.0,146.0,30,5,7,1358.0,2004,207000
1.0,1,662,5,186,1,848.0,1,4426.0,69.0,169.0,0,5,6,848.0,2004,143000
3.0,3,0,1,1085,2,1970.0,2,11065.0,86.0,415.0,74,5,8,1085.0,2006,281000
3.0,3,0,1,2046,2,2046.0,1,11844.0,80.0,415.0,82,5,8,2046.0,2008,372500
3.0,0,735,5,257,1,1865.0,1,10316.0,69.0,0.0,184,5,7,992.0,2000,235000
5.0,0,0,1,844,1,2134.0,1,11888.0,69.0,0.0,60,6,6,844.0,1916,214500
3.0,2,987,5,360,0,2646.0,1,9900.0,90.0,256.0,60,5,7,1347.0,1993,260000
2.0,0,600,5,312,1,1236.0,0,7407.0,90.0,0.0,158,7,6,912.0,1957,149700
2.0,1,301,4,239,1,902.0,0,8885.0,69.0,0.0,0,5,5,864.0,1983,131000
2.0,0,737,2,175,1,912.0,0,12968.0,69.0,0.0,0,6,5,912.0,1962,144000
3.0,2,639,4,441,2,1656.0,0,17869.125,107.5,112.0,62,5,6,1080.0,1960,215000
3.0,2,672,0,0,1,1382.0,0,17869.125,107.5,399.0,0,5,6,1362.0,1962,176000
4.0,0,0,1,0,1,2020.0,0,8400.0,60.0,320.0,0,5,5,41.125,1977,144000
3.0,1,504,1,506,1,1052.0,0,8816.0,80.0,80.0,0,7,6,1010.0,1971,155000
4.0,1,56,3,1198,0,2531.0,1,12257.0,65.0,415.0,98,5,8,1318.0,1995,290000
3.0,3,668,5,336,2,1852.0,1,9066.0,73.0,320.0,106,5,8,1004.0,1999,230000
3.0,3,1220,5,440,0,1660.0,1,10182.0,85.0,415.0,50,5,8,1660.0,2006,290000
2.0,1,1238,5,460,2,1709.0,1,5119.0,50.0,60.0,65,5,9,1698.0,1999,328900
3.0,3,832,5,80,1,912.0,1,6768.0,65.0,0.0,0,8,6,912.0,1961,142000
3.0,0,821,5,107,0,1764.0,1,15426.0,65.0,0.0,99,5,6,928.0,1997,231500
3.0,0,593,4,130,1,1395.0,0,12936.0,69.0,0.0,116,6,6,723.0,1972,162000
3.0,0,824,2,216,2,1040.0,0,7500.0,75.0,0.0,0,5,5,1040.0,1963,133000
3.0,2,56,5,2336,2,2392.0,2,13472.0,103.0,415.0,105,5,10,2054.125,2003,386250
2.0,0,397,4,706,1,1103.0,1,6000.0,50.0,0.0,120,6,6,1103.0,1925,110500
3.0,0,789,5,245,2,2078.0,2,10800.0,85.0,100.0,102,5,8,1034.0,2007,339750
2.0,1,116,4,604,1,803.0,0,5000.0,50.0,0.0,0,6,5,720.0,1941,87000
3.0,0,0,1,1092,1,1152.0,1,14000.0,80.0,0.0,36,8,6,1092.0,1950,158500
3.0,2,885,5,0,0,1173.0,1,10625.0,85.0,81.0,120,6,7,1053.0,1974,170000
3.0,0,0,1,0,1,1092.0,3,5600.0,70.0,0.0,0,5,4,41.125,1930,55000
4.0,3,0,1,747,1,1784.0,0,13132.0,96.0,0.0,40,5,5,747.0,1914,138887
4.0,0,0,1,570,0,1920.0,1,10192.0,102.0,143.0,98,6,7,570.0,1968,170000
3.0,0,0,1,1670,0,1670.0,1,14859.0,50.0,27.0,60,5,7,1670.0,2006,240000
2.0,0,0,1,600,0,1223.0,1,2544.0,31.5,0.0,166,5,7,600.0,2005,147400
1.0,0,1247,2,254,2,1801.0,0,15602.0,100.0,0.0,54,8,7,1501.0,1959,289000
4.0,0,0,1,1656,1,1656.0,0,9246.0,87.0,415.0,211,5,5,1656.0,1973,135000
